subj,stimType,stimPos,resp,rt,initWheelPos,finalWheelPos,tone,flanker,cue,cuePos,trialNum,phase,bias,sex,hand,age,acc,err
RT_9-1,Left,1,Left,537,40,38,None,Congruent,y,1,1,experiment,rt,Male,Right,21,1,0
RT_9-1,Right,5,Right,470,-54,-48,None,None,y,5,1,experiment,rt,Male,Right,21,1,0
RT_9-1,Left,2,Left,599,0,-4,Sound_1,Incongruent,n,NA,1,experiment,rt,Male,Right,21,1,0
RT_9-1,Right,5,Right,499,-40,-37,Sound_1,Congruent,n,NA,1,experiment,rt,Male,Right,21,1,0
RT_9-1,Left,1,Left,769,0,-1,None,None,n,NA,1,experiment,rt,Male,Right,21,1,0
RT_9-1,Left,7,Left,531,-41,-41,Sound_1,Congruent,y,7,1,experiment,rt,Male,Right,21,1,0
RT_9-1,Left,7,Left,502,3,-1,Sound_1,Congruent,n,NA,1,experiment,rt,Male,Right,21,1,0
RT_9-1,Left,2,Left,666,-35,-35,None,Incongruent,n,NA,1,experiment,rt,Male,Right,21,1,0
RT_9-1,Right,4,Right,505,3,1,Sound_1,None,n,NA,1,experiment,rt,Male,Right,21,1,0
RT_9-1,Left,1,Left,532,-35,-36,None,None,y,1,1,experiment,rt,Male,Right,21,1,0
RT_9-1,Left,5,Left,633,-1,-2,Sound_1,Incongruent,n,NA,1,experiment,rt,Male,Right,21,1,0
RT_9-1,Left,4,Left,567,-37,-36,Sound_1,Incongruent,n,NA,1,experiment,rt,Male,Right,21,1,0
RT_9-1,Left,2,Left,600,2,0,None,None,y,2,1,experiment,rt,Male,Right,21,1,0
RT_9-1,Right,2,Right,466,32,34,Sound_1,None,n,NA,1,experiment,rt,Male,Right,21,1,0
RT_9-1,Right,3,Right,498,-48,-48,Sound_1,Congruent,y,3,1,experiment,rt,Male,Right,21,1,0
RT_9-1,Right,6,Right,604,32,32,None,Congruent,y,6,1,experiment,rt,Male,Right,21,1,0
RT_9-1,Right,6,Right,599,-36,-41,None,Incongruent,y,6,1,experiment,rt,Male,Right,21,1,0
RT_9-1,Right,1,Right,638,8,3,None,Congruent,n,NA,1,experiment,rt,Male,Right,21,1,0
RT_9-1,Left,2,Left,666,34,31,None,None,n,NA,1,experiment,rt,Male,Right,21,1,0
RT_9-1,Right,8,Right,699,-4,-2,Sound_1,Incongruent,n,NA,1,experiment,rt,Male,Right,21,1,0
RT_6-1,Left,2,Left,831,-31,-26,Sound_1,None,n,NA,1,practice,rt,Other,Right,20,1,0
RT_6-1,Right,1,Right,798,0,2,None,Congruent,n,NA,1,practice,rt,Other,Right,20,1,0
RT_6-1,Left,7,Left,704,-37,-32,None,Congruent,n,NA,1,practice,rt,Other,Right,20,1,0
RT_6-1,Left,6,Left,531,36,26,Sound_1,Congruent,y,6,1,practice,rt,Other,Right,20,1,0
RT_6-1,Right,3,Right,533,-41,-39,Sound_1,None,n,NA,1,practice,rt,Other,Right,20,1,0
RT_6-1,Right,2,Right,399,34,19,None,Incongruent,y,2,1,practice,rt,Other,Right,20,1,0
RT_6-1,Right,7,Left,633,0,2,None,Congruent,n,NA,1,practice,rt,Other,Right,20,0,1
RT_6-1,Left,5,Right,166,32,32,Sound_1,Congruent,n,NA,1,practice,rt,Other,Right,20,0,1
RT_6-1,Right,8,Right,431,2,0,Sound_1,None,y,8,1,practice,rt,Other,Right,20,1,0
RT_6-1,Right,5,Left,499,-35,-34,None,Incongruent,n,NA,1,practice,rt,Other,Right,20,0,1
RT_6-1,Right,5,Right,702,39,35,None,Congruent,n,NA,1,practice,rt,Other,Right,20,1,0
RT_6-1,Left,3,Left,699,-30,-34,None,None,n,NA,1,practice,rt,Other,Right,20,1,0
RT_6-1,Left,5,Left,565,34,29,None,None,n,NA,1,practice,rt,Other,Right,20,1,0
RT_6-1,Left,4,Left,666,-1,-1,None,None,n,NA,1,practice,rt,Other,Right,20,1,0
RT_6-1,Right,8,Right,566,42,41,None,Congruent,n,NA,1,practice,rt,Other,Right,20,1,0
RT_6-1,Right,1,Right,432,-43,-45,None,Congruent,y,1,1,practice,rt,Other,Right,20,1,0
RT_6-1,Left,8,Right,603,41,38,None,None,n,NA,1,practice,rt,Other,Right,20,0,1
RT_6-1,Left,4,Left,665,-37,-34,Sound_1,Incongruent,n,NA,1,practice,rt,Other,Right,20,1,0
RT_6-1,Left,7,Left,497,3,-1,Sound_1,Congruent,n,NA,1,practice,rt,Other,Right,20,1,0
RT_6-1,Left,5,Left,368,31,29,Sound_1,None,y,5,1,practice,rt,Other,Right,20,1,0
RT_6-1,Left,8,Left,637,0,0,Sound_1,Incongruent,n,NA,1,practice,rt,Other,Right,20,1,0
RT_6-1,Right,4,Right,932,37,35,None,Incongruent,n,NA,1,practice,rt,Other,Right,20,1,0
RT_6-1,Right,3,Right,399,-1,0,None,None,y,3,1,practice,rt,Other,Right,20,1,0
RT_6-1,Left,2,Right,98,31,35,Sound_1,None,y,2,1,practice,rt,Other,Right,20,0,1
RT_6-1,Right,5,Left,602,-1,1,Sound_1,Incongruent,n,NA,1,experiment,rt,Other,Right,20,0,1
RT_6-1,Right,1,Right,397,-38,-38,Sound_1,None,y,1,1,experiment,rt,Other,Right,20,1,0
RT_6-1,Left,2,Left,498,0,-4,Sound_1,Congruent,y,2,1,experiment,rt,Other,Right,20,1,0
RT_6-1,Right,4,Right,799,-40,-36,None,None,n,NA,1,experiment,rt,Other,Right,20,1,0
